,name,price,deskripsi,isi_deksripsi
299,Nivea Facial Foam Sparkling White 100G,Rp17.600 - Rp41.000,Indikasi Umum**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,mencegah terbentuknya melanin penyebab kulit kusam dan mengurangi spot hitam sehingga wajah 10X lebih cerah dan berseri.**Busakan dengan air dan usapkan pada wajah (jangan sampai terkena mata) lalu bilas hingga bersih.**Produk Konsumen**Tube 100 g**Beiersdorf Indonesia
300,Nivea Hokkaido Rose Whip Facial Foam Cleanser 100 ml,Rp69.000 - Rp74.000,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Tube @100 ml**Beiersdorf Indonesia**BPOM: NA49201200036
301,Nivea Lip Care Original 4.8 G,Rp20.900 - Rp39.300,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Tabung 4.8 g**Beiersdorf Indonesia
302,Nivea Lip Care Strawberry Shine 1 Pcs,Rp20.000 - Rp40.400,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Pack isi 1**Beiersdorf Indonesia
303,Nivea Make Up Clear Micellar Water 200ml,Rp40.500 - Rp67.300,Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,"membersihkan makeup**Aqua, peg-40 hydrogenated castor oil, phenoxyethanol, glycerin, 1,2-hexanediol. Sorbitol, poloxamer 124, trisodium edta, decyl glucoside, panthenol, polyquaternium-10, vitis vinifera seed oil, disodium cocoyl glutamate, glyceryl glucoside, sodium chloride, citric acid, sodium acetate, propylene glycol.**Gunakan dengan kapas, pijat wajah dengan perlahan dan lembut.**Produk Konsumen**Botol @ 200 ml**Beiersdorf Indonesia"
304,Nivea Makeup Clear 2In1 Oil Control Mud 100ml,Rp29.000 - Rp30.800,Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,"melawan 10 masalah kulit bermake up.**Aqua, Glycerin, Potassium Myristate, Potassium Palmitate, Potassium Stearate, Potassium Laurate, Glyceryl Stearate, PEG-8, Cera Alba, Acrylates Copolymer, Sodium Methyl Cocoyl Taurate, Trisodium EDTA, Potassium Arachidate, Calcium Carbonate, Kaolin, Sodium Salicylate, Potassium Oleate, 4-Butylresorcinol, Carnitine, Sodium Ascorbyl Phosphate, Glyceryl Glucoside, Propylene Glycol, Glycyrrhiza Glabra Root Extract, Glucose, PEG-40 Hydrogenated Castor Oil, Trideceth-9, Panax Ginseng Root Extract, Parfum, CI 10316, CI 61570, CI 77266**Usapkan pada wajah dan leher tanpa dibasahi. Pijat lembut dengan gerakan kecil melingkar ke atas hingga make up terlihat memudar. Hindari area sekitar mata. Busakan dengan air, bilas dengan air hangat**Produk Konsumen**Tube 100 g**Beiersdorf Indonesia"
305,Nivea Micellar Water Hydration 200 ml,Rp45.500 - Rp75.500,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Botol @ 200 ml**Beiersdorf Indonesia
306,Nivea Micellar Water Pearl White 125 ml,Rp25.800 - Rp43.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Botol @ 125 ml**Beiersdorf Indonesia
307,Nourish Beauty Care Acne Gel 10 ml,Rp31.100 - Rp59.000,Golongan Produk**Kemasan**Manufaktur,"Produk Konsumen**Dus, Tube @ 10 ml**NUTRISAINS"
308,Nourish Beauty Care Mask Whitening 23 ml,Rp48.900 - Rp64.200,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Sachet @ 23 ml**NUTRISAINS
309,Nourish Beauty Facial Foam Acne 100ml,Rp27.900 - Rp48.600,Indikasi Umum**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,"Untuk mengangkat debu dan kotoran yang menempel di wajah, serta menghilangkan sel-sel kulit mati sehingga tampak muda berseri.**Gunakan 2 kali per hari**Produk Konsumen**Tube 100 g**NUTRISAINS"
310,Nourish Beauty Facial Foam Bio White 100ml,Rp34.600 - Rp54.600,Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,"membersihkan kulit dari debu dan kotoran. Mengandung Bearberry leaves, Sprout dan Vitamin yang dapat mengangkat sel-sel kulit mati sehingga kulit wajah tampak bersih dan cerah.**Bearberry leaves, Sprout dan Vitamin**tuang ke telapak tangan, usap sampai berbusa, lalu bilas**Produk Konsumen**Tube 100 ml**NUTRISAINS"
311,Nourish Skin Acne Gel 10 ml,Rp31.400 - Rp60.600,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"-**Mempercepat penyembuhan kulit berjerawat, mengurangi peradangan dan mengeringkan jerawat, mempercepat regenerasi kulit sehingga mencegah noda bekas jerawat**Lavender oil, aloe barbandesis leaf extract, silanediol salicylate, humulus lupulus extract**Gunakan 2 x sehari**Oleskan pada wajah berjerawat yang telah dibersihkan dan diamkan**Hipersensitasi dengan komponen obat**-**Reaksi alergi**Produk Konsumen**Tube 10 ml**NUTRISAINS**BPOM: NA18200105599"
312,Nourish Skin Wrinkle Serum 30 ml,Rp203.300 - Rp300.900,Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Membantu memudarkan kerutan dan flek hitam dikulit wajah**Tripeptide, terapeptide, ekstrak opuntia, stem cell apple, ektrak rumex, sprout, albutin dan glutation**2 x sehari Secukupnya sesuai kebutuhan**Oleskan Nourish wrinkle Remover serum secara merata pada kulit wajah dan leher.**Produk Konsumen**Tube 30 ml x 1**NUTRISAINS**BPOM: NA18142000346"
313,Nurish Organiq 24K Face Essence 20 g,Rp104.500 - Rp177.500,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Botol @ 20 g**None**BPOM: NA32182000489
314,Nurish Organiq 24K Gold Deep Cleansing Milk 100 ml,Rp70.000 - Rp77.000,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Botol @ 100 ml**None**BPOM: NA32181206826
315,Nurish Organiq 24K Gold Eye Serum 15 ml,Rp84.500 - Rp143.500,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Tube @ 15 ml**None**BPOM: NA32180105291
316,Nurish Organiq 24K Gold Foamy Cleanser 100 g,Rp49.000 - Rp77.000,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Tube @ 100 g**None**BPOM: NA32181206825
317,Nurish Organiq 24K Gold Moisturising Day Cream SPF25 40 g,Rp91.000 - Rp143.500,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Produk Konsumen**Dus, Pot @ 40 g**None**BPOM: NA32180105292"
318,Nurish Organiq 24K Gold Moisturizing Night Cream 40 g,Rp98.000 - Rp154.500,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Produk Konsumen**Dus, Pot @ 40 g**None**BPOM: NA32180105290"
319,Nurish Organiq Brightening Eye Serum 15 g,Rp71.500 - Rp121.500,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Tube @ 15 g**None**BPOM: NA32180100015
320,Nurish Organiq Brightening Face Essence 20 g,Rp91.000 - Rp154.500,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Botol @ 20 g**None**BPOM: NA32191905002
321,Nurish Organiq Brightening Night Cream 40 g,Rp120.500 - Rp132.500,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Produk Konsumen**Dus, Pot @ 40 g**None**BPOM: NA32190105355"
322,Nurish Organiq Face Scrub 75 ml,Rp65.000 - Rp71.500,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Tube @ 75 ml**None**BPOM: NA32191205385
323,Nurish Organiq Oil Control Cleanser 100 ml,Rp42.000 - Rp66.000,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Tube @ 100 ml**None**BPOM: NA32191205367
324,Nutrafor Acne Gel 10 g,Rp18.400 - Rp47.700,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Tube 10 gram**Etercon Pharma
325,Nutrica Activ Clear 15 g,Rp20.700 - Rp36.000,Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Untuk mengatasi jerawat**Tea tree oil, Tocopheryl acetate, Triethanolamine, Tribulus terrestris extract, Thiamine HCl, Pyridoxine Hcl**2 x sehari**Oleskan pada wajah berjerawat yang telah dibersihkan**Produk Konsumen**Tube, 15 gr**Teguhsindo Lestaritama**BPOM: NA18170103253"
326,Olay Eyes Retinol 24 Night Eye Cream 15 ml,Rp226.500 - Rp302.000,Indikasi Umum**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Mengencangkan, mencerahkan, meratakan warna kulit, dan mengurangi tampilan garis halus, kerutan dan lingkaran hitam.**Aplikasikan produk di sekitar area mata/di bawah mata, di sudut luar dan kelopak mata. Pijat lembut sampai krim menyerap sempurna.**Produk Konsumen**Dus, Pot @ 15 ml**Procter & Gamble (P&G)**BPOM: NA49200100006"
327,Olay Natural White UV Light Cream 20G,Rp16.500 - Rp24.500,Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,"kulit wajah tampak lebih cerah dengan OLAY Natural White UV Light Cream.**vitamin B3, pro B5, dan vitamin E**gunakan pada wajah**Produk Konsumen**Tube 20 g**Procter & Gamble (P&G)"
328,Olay Regenerist Cream Cleanser 100G,Rp60.000 - Rp70.800,Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Meremajakan lapisan permukaan kulit agar tekstur kulit dan pori-pori lebih halus. Mengurangi garis dan kerut pada wajah dengan pelembab. Mengelupaskan agar kulit lebih halus. Meningkatkan hidrasi sehingga kulit terasa lebih kenyal dan kencang.**Water , Glycerin, Isohexadecane, Niacinamide, Aluminum Starch Octenylsuccinate, Isopropyl Isostearate, Nylon-12, Dimethicone, Panthenol, Stearyl Alcohol, Polyethylene, Cetyl Alcohol, Behenyl Alcohol, Titanium Dioxide, Benzyl Alcohol, Caprylic/Capric Triglyceride, Sodium Acrylates Copolymer, Tocopheryl Acetate, Mica, Allantoin, Ethylparaben, Methylparaben, Dimethiconol, Polyacrylamide, PEG-100 Stearate, Cetearyl Alcohol, Cetearyl Glucoside, C13-14 Isoparaffin, Propylparaben, Sodium Hyaluronate, Stearic Acid, Disodium EDTA, Fragrance (Ch?t t?o h??ng), Butylene Glycol, Citric Acid, Sodium PEG-7 Olive Oil Carboxylate, C12-13 Pareth-3, Laureth-7 , Peucedanum Graveolens (Dill) Extract, Butylphenyl Methylpropional, Linalool, Sodium Hydroxide, Propylene Glycol, Camellia Sinensis Leaf Extract, Limonene, Citronellol, Benzyl Salicylate, Hexyl Cinnamal, Aloe Barbadensis Leaf Extract, Alpha-Isomethyl Ionone, Xanthan Gum, Imidazolidinyl Urea, Palmitoyl Pentapeptide-4.**Gunakan dua kali sehari pada wajah dan leher yang bersih.**Produk Konsumen**Tube 100 g**Procter & Gamble (P&G)**BPOM: NA49171203324"
329,Olay Regenerist Eye Serum 15 ml,Rp145.200 - Rp262.000,Indikasi Umum**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Revitalising eye serum Mengandung Amino-peptide complex dan bahan anti ageing Formula fragrance free dan non greasy Mengurangi garis halus dan kerutan pada pada area sekitar mata, menutrisi dan meremajakan kulit di area sekitar mata sehingga menjadikannya tampak halus dan lebih muda**Produk Konsumen**Dus, Botol @ 15 ml**Procter & Gamble (P&G)**BPOM: NA49150103268"
330,Olay Regenerist Micro Sculpting Night Cream 50 g,Rp208.500 - Rp292.000,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Produk Konsumen**Dus, Pot @ 50 gram**Procter & Gamble (P&G)**BPOM: NA49140100134"
331,Olay Regenerist Micro Sculpting Serum 50 ml,Rp188.500 - Rp342.000,Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"1. Mengelupaskan dan manghaluskan, untuk membantu megembalikan tekstur kulit asal. 2. Mengurangi garis-garis halus serta kerutan pada wajah dengan menggunakan pelembab. 3. Menghidrasi kulit agar lebih kenyal. 4. Menyiapkan kulit untuk menghadapi perawatan sehari-hari.**Water, Cyclopentasiloxane, Glycerin, Niacinamide, Aluminum Starch Octenylsuccinate, Dimethicone, Panthenol, Dimethicone Crosspolymer, Polyethylene, Palmitoyl Pentapeptide-4, Sodium Hyaluronate, Camellia Sinensis Leaf Extract, Tocopheryl Acetate, Carnosine, Allantoin, Dimethiconol, Polyacrylamide,**Tuangkan serum secukupnya pada ujung jari Anda, lalu mulai pijat pada permukaan kulit wajah dan leher secara melingkar. Fokuskan pada daerah-daerah yang terdapat tanda-tanda penuaan seperti garis alis dan sekitar rahang. Gunakan pada pagi dan malam hari. Untuk hasil anti-aging yang sempurna, aplikasikan Regenerist Micro-Sculpting Cream setelah menggunakan Micro-Sculpting Serum. Hindari dengan kontak mata. jika terjadi kontak pada mata Anda, bilas mata Anda dengan air bersih.**Produk Konsumen**Botol @ 50 ml**Procter & Gamble (P&G)**BPOM: NA49172000160"
332,Olay Regenerist Retinol 24 Night Moituriser 50 g,Rp226.500 - Rp332.500,Deskripsi**Indikasi Umum**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Olay Regenerist Retinol 24 Night Moituriser merupakan skin care anti aging (penuaan) dengan formula Nicinamide plus Retinol24 Complex yang berguna mempercepat regenerasi sel di permukaan kulit. Memperbarui dan meremajakan kulit sepanjang malam, dengan kelembaban 24 jam. Cocok untuk penggunaan harian, tanpa membuat kulit menjadi kering.**Membantu menjaga kelembapan kulit**Ratakan pada wajah dan leher yang telah dibersihkan setiap malam**Produk Konsumen**Dus, Pot @ 50 g**Procter & Gamble (P&G)**BPOM: NA49210100113"
333,Olay Regenerist Retinol 24 Night Serum 30 ml,Rp226.500 - Rp332.500,Indikasi Umum**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Memperbarui meremajakan dan menajaga kelembapan kulit sepanjang malam**Ratakan pada wajah dan leher yang telah dibersihkan setiap malam**Produk Konsumen**Dus, Botol @ 30 ml**Procter & Gamble (P&G)**BPOM: NA49190105310"
334,Olay Regenerist Revitalising Night Cream 50 g,Rp155.100 - Rp196.800,Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"melembabkan sepanjang malam dengan sekali pemakaian**Water, Cyclopentasiloxane, Glycerin, Niacinamide, Aluminum Starch Octenylsuccinate, Dimethicone, Dimethicone Crosspolymer, Panthenol, Polyethylene, Polyacrylamide, Tocopheryl Acetate, C13-14 Isoparaffin, DMDM Hydantoin, Allantoin, Laureth-4, Dimethiconol, Laureth-7, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Hyaluronate, Sodium PEG-7 Olive Oil Carboxylate, Disodium EDTA, Peucedanum Graveolens (Dill) Extract, Citric Acid, PEG-100 Stearate, Camellia Sinensis Leaf Extract, Iodopropynyl Butylcarbamate, Palmitoyl Pentapeptide-4.**Ambil sedikit Regenerist dan pijat dengan jari pada wajah dan leher dengan gerakan memutar ke atas. Fokuskan pada area seperti dahi dan garis rahang, yang lebih memerlukan perawatan. Gunakan setiap malam.**Produk Konsumen**Pot 50 g**Procter & Gamble (P&G)**BPOM: NA49170101797"
335,Olay Regenerist Revitalising Serum 50 ml,Rp152.500 - Rp204.500,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Pump 50 ml Serum**Procter & Gamble (P&G)
336,Olay Regenerist UV Protection Day Cream 50G,Rp188.200 - Rp262.000,Indikasi Umum**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,Membantu menyamarkan garis halus dan keriput dengan melembabkan kulit secara intensif.**Gunakan secara merata dengan ujung jari pada kulit wajah dan leher yang sudah dibersihkan 1-2 kali sehari. Dapat digunakan tersendiri atau sebelum menggunakan alas bedak.**Produk Konsumen**Pot 50 g**Procter & Gamble (P&G)
337,Olay Regenerist Whip Active Moisturiser 10 g,Rp48.500 - Rp82.500,Deskripsi**Indikasi Umum**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Olay Regenerist Whip Active Moisturizer merupakan krim pelembap wajah dengan senyawa anti-aging ADVANCED AMINO-PEPTIDE COMPLEX + CAROB FRUIT EXTRACT, Mudah meresap. Membantu mengurangi tersumbatnya pori-pori. Dilengkapi dengan kandungan: - Niacinamide (Vitamin B3) - Mempercepat regenerasi sel di permukaan kulit, mengurangi kerutan - Amino-peptide Molekul Pro-Kolagen - Mendorong produksi kolagen untuk mengurangi kerutan dan mengencangkan kulit - Exstrak Buah Carob - Membantu memperbaiki permukaan kulit - Asam Hialuronat + Gliserol - Melembabkan agar kulit lebih lembut dan kenyal - Olive-M - Membantu melindungi kulit dari stress oksidatif**Membantu melembapkan dan menyiapkan kulit untuk pemakaian make-up sepanjang hari.**Ratakan pada wajah dan leher yang telah dibersihkan setiap pagi dan sore hari**Produk Konsumen**Dus, Pot @ 10 g**Procter & Gamble (P&G)**BPOM: NA49210100102"
338,Olay Regenerist Whip Active Moisturiser 50 g,Rp239.500 - Rp360.000,Deskripsi**Indikasi Umum**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Olay Regenerist Whip Active Moisturizer merupakan krim pelembap wajah dengan senyawa anti-aging ADVANCED AMINO-PEPTIDE COMPLEX + CAROB FRUIT EXTRACT, Mudah meresap. Membantu mengurangi tersumbatnya pori-pori. Dilengkapi dengan kandungan: - Niacinamide (Vitamin B3) - Mempercepat regenerasi sel di permukaan kulit, mengurangi kerutan - Amino-peptide Molekul Pro-Kolagen - Mendorong produksi kolagen untuk mengurangi kerutan dan mengencangkan kulit - Exstrak Buah Carob - Membantu memperbaiki permukaan kulit - Asam Hialuronat + Gliserol - Melembabkan agar kulit lebih lembut dan kenyal - Olive-M - Membantu melindungi kulit dari stress oksidatif**Membantu melembapkan dan menyiapkan kulit untuk pemakaian make-up sepanjang hari.**Ratakan pada wajah dan leher yang telah dibersihkan setiap pagi dan sore hari**Produk Konsumen**Dus, Pot @ 50 g**Procter & Gamble (P&G)**BPOM: NA49210100102"
339,Olay Regenerist Youth Pre-Essence 40 ml,Rp218.000 - Rp247.000,Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Gunakan produk dua kali sehari setelah menggunakan toner,sebelum menggunakan serum dan pelembap. Buka tutup dan produk otomatis akan masuk ke dalam pipet. Tekan pompa pipet untuk mengeluarkan produk. Kencangkan tutup setelah digunakan. Untuk hasil yang ideal, gunakan dua pompaan pipet pada setiap pemakaian.**Produk Konsumen**Botol @ 40 ml**Procter & Gamble (P&G)**BPOM: NA49170103377"
340,Olay Total Effect 7 in One Day Cream Normal SPF15 12 g,Rp36.300 - Rp54.000,Deskripsi**Indikasi Umum**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Olay Total Effect 7 in One Day Cream Normal SPF15 dirancang untuk membuat wajah Anda tampak lebih muda secara optimal berkat VitaNiacin Complex yang unik, dengan vitamin E, B5 dan B3, untuk membantu proses peremajaan kulit agar terlihat lebih sehat. Dengan SPF15 memberikan perlindungan terhadap bahaya sinar UVA/UVB. Produk ini dapat melawan 7 tanda penuaan: 1. Garis-garis halus dan kerutan: Mengurangi garis-garis halus dan kerutan yang terlihat 2. Tanda penuaan: Mengurangi tanda-tanda penuaan 3. Pori-pori: Menyamarkan pori-pori besar 4. Warna kulit: Meratakan warna kulit 5. Tekstur Wajah: Menghaluskan tekstur wajah Anda 6. Kulit kering: Memberikan nutrisi untuk kulit Anda agar lebih segar 7. Kusam: Memberikan kilau kulit sehat**Krim ini dapat mengurangi 7 tanda penuaan, mengurangi garis-garis halus dan timbulnya kerutan serta menyamarkan pori-pori besar.**Produk Konsumen**Botol Pump @ 12 g**Procter & Gamble (P&G)**BPOM: NA49140101979"
341,Olay Total Effects 7 In One Day Cream Normal SPF 15 50 g,Rp119.500 - Rp192.000,Indikasi Umum**Komposisi**Dosis**Perhatian**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Perawatan kulit wajah pada malam hari dan menghidrasi kulit agar tampak lebih halus dan lebih muda. Mengurangi tanda-tanda penuaan. Mengurangi garis-garis dan kerutan pada wajah.**Water, glycerin , niacinamide , isohexadecane, dimethicone , isopropyl isostearate, polyacrylamide, stearyl alcohol, sucrose plycottonseedate, cetyl alcohol, panthenol , tocopheryl acetate , behenyl alcohol, polymethylsilsesquioxane, c13-14 isoparaffin, titanium dioxide , benzyl alcohol, coconut oil, dimethiconol, laureth-7, fragrance, ethylparaben, cetearyl glucoside, cetearyl alcohol, peg- 100 stearate, stearic acid, disodium edta, propylparaben, hydrolized wheat protein, sodium hydroxide, methylparaben, ammonium polyacrylate.**Ambil krim secukupnya di jari Anda dan usapkan dengan lembut secara merata keseluruh wajah Anda.**Hindari kontak dengan mata. Jika kontak terjadi, bilas mata Anda dengan air. Tidak boleh digunakan untuk anak dibawah usia 3 tahun. Jangan terlalu lama terpapar sinar matahari, meskipun menggunakan sediaan tabir surya.**Produk Konsumen**Cream 50 g x 1**Procter & Gamble (P&G)**BPOM: NA49200100017"
342,Olay Total Effects Anti Ageing Night Cream 50 g,Rp118.800 - Rp181.500,Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Melembabkan, meminimalkan munculnya garis-garis halus dan kerutan, meratakan warna kulit, mengurangi munculnya bintik-bintik usia, menghaluskan tekstur kulit dengan pengelupasan, meminimalkan munculnya pori-pori, melindungi permukaan kulit dari radikal bebas dengan antioksidan**Water, glycerin , niacinamide , isohexadecane, dimethicone , isopropyl isostearate, polyacrylamide, stearyl alcohol, sucrose plycottonseedate, cetyl alcohol, panthenol , tocopheryl acetate , behenyl alcohol, polymethylsilsesquioxane, c13-14 isoparaffin, titanium dioxide , benzyl alcohol, coconut oil, dimethiconol, laureth-7, fragrance, ethylparaben, cetearyl glucoside, cetearyl alcohol, peg- 100 stearate, stearic acid, disodium edta, propylparaben, hydrolized wheat protein, sodium hydroxide, methylparaben, ammonium polyacrylate.**Oleskan pada wajah dan leher yang bersih setiap malam sebelum tidur**Produk Konsumen**Cream 50 G X 1 Pot**Procter & Gamble (P&G)**BPOM: NA49110101579"
343,Olay Total Effects Anti Ageing Normal Day Cream 20 g,Rp52.600 - Rp83.900,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Cream 20 g X 1 Pump**Procter & Gamble (P&G)
344,Olay Total Effects Anti Ageing Normal Day Cream 50 g,Rp82.000 - Rp177.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Cream 50 g X 1 Pump**Procter & Gamble (P&G)
345,Olay Total Effects Anti Ageing Serum 50 ml,Rp107.900 - Rp197.000,Indikasi Umum**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,"Tekstur ringan untuk penyerapan mudah dan penetrasi aktif yang lebih dalam, Mengurangi bintik-bintik hitam Memberikan kulit yang terlihat kuat Mencerahkan kulit Mengurangi garis & kerutan Memberikan kulit lembut & halus Meratakan warna kulit Mengurangi ukuran pori**2 x sehari**Oleskan pada wajah dan leher yang bersih**Produk Konsumen**Dus, Botol pump @ 50 ml**Procter & Gamble (P&G)"
346,Olay Total Effects Anti Aging Gentle Day Cream SPF 15 50 g,Rp104.900 - Rp191.000,Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,"Pelembab wajah sehari-hari, melindungi dari paparan sinar, mengurangi bintik-bintik hitam, memberikan kulit yang terlihat kuat, mencerahkan kulit, mengurangi garis & kerutan, memberikan kulit lembut & halus, meratakan warna kulit, mengurangi ukuran pori**Water, Glycerin, Niacinamide, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Isopropyl Isostearate, Octocrylene, Panthenol, Phenylbenzimidazole Sulfonic Acid, Polyacrylamide, Triethanolamine, Stearyl Alcohol, Tocopheryl Acetate, C13-14 Isoparaffin, Benzyl Alcohol, PTFE, Cetyl Alcohol, Titanium Dioxide, Behenyl Alcohol, Sucrose Polycottonseedate, Carbomer, Ethylparaben, Methylparaben, Laureth-7, Cetearyl Alcohol, Cetearyl Glucoside, PEG-100 Stearate, Propylparaben, Sodium Ascorbyl Phosphate, Disodium EDTA, BHT, Stearic Acid, Zinc Oxide, Iodopropynyl Butylcarbamate, Camellia Sinensis Leaf Extract, Triethoxycaprylylsilane.**2 x sehari**Oleskan pada wajah dan leher yang bersih**Produk Konsumen**Cream 50 G X 1 Pump**Procter & Gamble (P&G)"
347,Olay Total Effects Day Cream Touch Of Foundation SPF 15 50 g,Rp136.400 - Rp177.000,Indikasi Umum**Komposisi**Dosis**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Menentang 7 efek penuaan dalam 1 botol. Memerangi kulit kusam, garis-garis halus & keriput. Juga dilengkapi dengan foundation wajah & SPF15**Water, Glycerin, Ethylhexyl Salicylate,**Oleskan secara merata pada wajah dan leher yang telah dibersihkan dua kali sehari.**Produk Konsumen**Cream 50 g x 1**Procter & Gamble (P&G)**BPOM: NA49190105202"
348,Olay Total Effects Foaming Cleanser 100 g,Rp30.900 - Rp59.000,Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Membersihkan secara merata, dan pada saat yang bersamaan juga mencerahkan kulit secara natural. Membantu mencegah beberapa tanda-tanda penuaan pada kulit wajah Anda. Menghilangkan kotoran agar kulit terlihat lebih segar dan lebih muda**Water, Glycerin, Myristic Acid,,Stearic Acid, Palmitic Acid, Sodium Lauroyl Sarcosinate, Potassium Hydroxide, Lauric Acid, Polyquaternium-10, DMDM Hydantoin, Fragrance, Tetrasodium Etidronate, Pentasodium Pentetate, Iodopropynyl Butylcarbamate, Niacinamide**Tuangkan secukupnya ke kedua telapak tangan Anda, lalu tambahkan air hingga menjadi busa. Secara perlahan pijat wajah dan leher dan yang terakhir bilas hingga bersih.**Produk Konsumen**Tube @ 100 g**Procter & Gamble (P&G)**BPOM: NA49111201561"
349,Olay Total Effects Foaming Cleanser 50 g,Rp32.700 - Rp45.100,Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Membersihkan secara merata, dan pada saat yang bersamaan juga mencerahkan kulit secara natural. Membantu mencegah beberapa tanda-tanda penuaan pada kulit wajah Anda. Menghilangkan kotoran agar kulit terlihat lebih segar dan lebih muda**Water, Glycerin, Myristic Acid,,Stearic Acid, Palmitic Acid, Sodium Lauroyl Sarcosinate, Potassium Hydroxide, Lauric Acid, Polyquaternium-10, DMDM Hydantoin, Fragrance, Tetrasodium Etidronate, Pentasodium Pentetate, Iodopropynyl Butylcarbamate, Niacinamide**Tuangkan secukupnya ke kedua telapak tangan Anda, lalu tambahkan air hingga menjadi busa. Secara perlahan pijat wajah dan leher dan yang terakhir bilas hingga bersih.**Produk Konsumen**Tube @ 50 g**Procter & Gamble (P&G)**BPOM: NA49111201561"
