,name,price,deskripsi,isi_deksripsi
10,Erha Truwhite Brightening Face Toner 100 ml,Rp100.000 - Rp141.100,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,"ERHA TRUWHITE BRIGHTENING FACE TONER merupakan produk yang diformulasikan secara khusus untuk membantu mencerahkan dan melembapkan kulit, dan membantu mempersiapkan kulit untuk penyerapan skincare lebih optimal. Memiliki pH yang seimbang sehingga dapat digunakan baik untuk kulit kering maupun berminyak.**Membantu mencerahkan dan melembapkan kulit, dan membantu mempersiapkan kulit untuk penyerapan skincare lebih optimal.**NIACINAMIDE (VITAMIN B3) : Membantu mencerahkan, melembapkan & mengatasi produksi sebum di wajah. TXA: Merupakan holy grail dalam produk skincare yang digunakan untuk mengatasi masalah kulit gelap, meratakan warna kulit, menyamarkan bekas jerawat & hiperpigmentasi. AHA: Mengandung formula yang dapat meregenerasi kulit tanpa menimbulkan pengelupasan kulit. PHA: Membantu mengangkat sel kulit mati pada kulit & tidak mengiritasi.**Sesuai kebutuhan**Aplikasikan dengan kapas atau telapak tangan ke seluruh wajah yang telah dibersihkan hingga toner meresap sempurna. Untuk hasil yang lebih optimal, gunakan pada pagi dan malam hari bersama rangkaian ERHA Truwhite lainnya.**Produk Konsumen**Botol @ 100 ml**Genero Pharmaceutical"
11,Erha X Aqua Re-Fresh Hydrating Serum 30 ml,Rp152.000 - Rp152.900,Deskripsi**Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"ERHA X AQUA RE-FRESH HYDRATING SERUM merupakan serum water-based bertekstur ringan dengan teknologi 24-Hour Hydration Lock. Serum ini berfungsi untuk melembapkan sekaligus meningkatkan hidrasi pada kulit wajah, serta melindungi kulit dari tanda-tanda penuaan dini. Mudah menyerap dan kaya akan antioksidan membuat kulit wajah terasa halus, kenyal, dan lebih lembap. Dapat digunakan sebelum makeup untuk mempersiapkan kulit untuk makeup yang lebih glowy. Penggunaan bersama rangkaian ERHA X AQUA lainnya.**Melembapkan sekaligus meningkatkan hidrasi pada kulit wajah, serta melindungi kulit dari tanda-tanda penuaan dini. Membuat kulit wajah terasa halus, kenyal, dan lebih lembap. Dapat digunakan sebelum makeup untuk mempersiapkan kulit untuk makeup yang lebih glowy.**Kombinasi Hydrating Agents yang memberikan efek melembapkan sekaligus mencegah kehilangan air berlebihan. Dengan teknologi 24-Hours menjaga kelembapan kulit hingga 24 jam pada penggunaan bersama satu rangkaian produk ERHA X AQUA. Bahan Anti-aging & Antioksidan melindungi kulit dari tanda-tanda penuaan dini dan efek buruk dari radikal bebas. Kombinasi Soothing Agents memberikan efek menenangkan dan meredakan inflamasi pada kulit sehingga kulit terasa sejuk dan segar.**Gunakan secara teratur di pagi dan malam hari pada kulit wajah yang telah dibersihkan. Direkomendasikan untuk dipakai sebelum pelembap atau makeup**Produk Konsumen**Botol @ 30 ml**Genero Pharmaceutical**BPOM: NA18200106214"
12,Erha21 Erha 2 Facial Wash For Oily Skin 60ml,Rp56.300 - Rp82.000,Deskripsi**Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Sabun wajah yang berfungsi untuk mengangkat kotoran, sel kulit mati dan minyak berlebih pada kulit. Menjadikan wajah bersih, tampak lebih cerah dan terasa kencang. Diformulasikan khusus untuk tipe kulit berminyak.**Sabun wajah yang berfungsi untuk mengangkat kotoran, sel kulit mati dan minyak berlebih pada kulit.**Niacinamide sebagai pelembap dan antioxidant untuk membantu mencegah tanda - tanda penuaan dini. AHA untuk membantu mencerahkan dan mengangkat lapisan sel kulit mati sehingga kulit terasa lebih halus dan lembut DMAE bekerja untuk menjadikan kulit terasa lebih kencang Aloevera berfungsi sebagai moisturizer, antiinflamasi, antioksidan Glicolic acid berfungsi sebagai exfoliating**Aplikasikan pada wajah yang sudah dibasahi. Pijat lembut hingga berbusa. Bilas dengan air dan keringkan.**Produk Konsumen**Botol @ 60 ml**Genero Pharmaceutical**BPOM: NA18141203549"
13,Essenherb Bulgarian Rose Ampoule,Rp290.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Botol 50 ml**Social Bella Indonesia
14,Essenherb Bulgarian Rose Cream,Rp321.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Pot 50 ml**Social Bella Indonesia
15,Essenherb Bulgarian Rose Mist,Rp201.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Botol 100 ml**Social Bella Indonesia
16,Essenherb Bulgarian Rose Toner,Rp278.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Botol 200 ml**Social Bella Indonesia
17,Evershine Energizing Melt Coffee Mask 50 g,Rp89.000,Indikasi Umum**Dosis**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Masker kopi Murni yang menggunakan scrub kopi untuk membantu mengeksfoliasi dan mengangkat sel-sel kulit mati dengan lembut, membersihkan, mengurangi tanda-tanda kelelahan seperti kulit kusam dan membantu mengurangi peradangan pada kulit berjerawat. Sensasi energi dari rasa hangat nya akan membantu menstimulasi pemijatan wajah sehingga dapat membantu membangkitkan peredaran darah diwajah menjadi lancar sehingga wajah akan semakin cerah bersinar , tampak muda , Lembut dan halus.**Sesuai kebutuhan**Produk Konsumen**Pot @ 50 g**Nose Herbal Indo**BPOM: NA18210200563"
18,Evershine Moringa Be My Honey Mask 50 g,Rp89.000,Indikasi Umum**Dosis**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Masker Moringa yang mengandung Ekstrak Moringa dan Ekstrak Madu yang kaya akan antioksidan, dapat memberikan Nutrisi dan kelembaban pada kulit serta meningkatkan pembaharuan sel kulit. Berpadu dengan Ekstrak Curcuma yang dapat mencerahkan kulit serta memiliki Extrak Oil Tumbuhan lainya yang dapat membantu menenangkan kemerahan, merawat kulit yang berjerawat, menjaga kelembaban kulit, serta merawat kehalusan & kelembutan kulit wajah.**Sesuai kebutuhan**Produk Konsumen**Pot @ 50 g**Nose Herbal Indo**BPOM: NA18210101636"
19,Everwhite Be Bright Day Cream 20 ml,Rp99.900,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Everwhite Be Bright Day Cream 15 ml merupakan produk wajah pada siang hari yang diperkaya dengan Lactobacillus Ferment / Kefir yang dapat merawat kehalusan dan kelembutan pada kulit. Kandungan Collagen dapat membantu meningkatkan elastisitas pada kulit, mencegah kekeringan pada kulit dan membantu mengurangi tanda penuaan pada kulit. Serta Seed Whiter yang berperan untuk mencerahkan kulit yang kusam.Everwhite Day Cream Be Bright juga mengandung 4 UV Filters dengan SPF 30++ yang dapat melindungi kulit dari pengaruh buruk sinar UV A dan UV B.**Membantu melembabkan dan mencerahkan kulit, membantu menyamarkan noda hitam, serta melindungi kulit wajah dari paparan sinar UV.**Lactobacillus Ferment / Kefir + Collagen + Seed Whiter, Octinoxate, Avobenzone, Zinc Oxide, dan Titanium Dioxide**Sesuai kebutuhan**Oleskan tiap pagi hari pada wajah yang telah dibersihkan,**Produk Konsumen**Dus, Pot @ 20 ml**Pillars Cosmetiklon Indonesia**BPOM : NA18180120378"
